Clues,Institución,Sigla de la Institución,Entidad,Municipio,Siglas del tipo de unidad,Tipo de Unidad,Unidad Médica,Cantidad de salas,Nivel de Atención,Observaciones,Latitud,Longitud,Direccion
CSIST000514,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Chiapas,Palenque,CH,Clínica Hospital,Clínica Hospital Palenque,1,Segundo Nivel,"Con sala funcional, pero sin personal",17.53732428,-91.99212753,"CARRETERA PALENQUE- PAKAL-NÁ S/N, COLONIA PAKAL-NA, PALENQUE, CHIAPAS, CP. 29960"
HGIST000106,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Hidalgo,Pachuca de Soto,HG,Hospital General,Hospital General Columba Rivera Osorio,1,Segundo Nivel,No aplica,20.07326968,-98.776398,"CARRETERA MÉXICO PACHUCA KM. 86.5 S/N, COLONIA ISSSTE, PACHUCA DE SOTO, HIDALGO, CP. 42080"
CSIST000251,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Chiapas,Tuxtla Gutiérrez,HG,Hospital General,Hospital General Dr. Belisario Domínguez,1,Segundo Nivel,No aplica,16.7484664,-93.07516655,"CALLE LIBRAMIENTO NORTE ORIENTE 49-A S/N, COLONIA ISSSTE, TUXTLA GUTIÉRREZ, CHIAPAS, CP. 29060"
DGIST000042,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Durango,Durango,HG,Hospital General,Hospital General Dr. Santiago Ramon y Cajal,1,Segundo Nivel,No aplica,24.029236,-104.6816835,"CALLE VELINO M. PREZA S/N, COLONIA SILVESTRE DORADOR, DURANGO, DURANGO, CP. 34070"
BCIST000093,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Baja California,Tijuana,HG,Hospital General,Hospital General Fray Junípero Serra,1,Segundo Nivel,No aplica,32.508255,-116.984823,"AVENIDA LAS PALMAS S/N, FRACCIONAMIENTO LAS PALMAS, TIJUANA, BAJA CALIFORNIA, CP. 22440"
BSIST000330,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Baja California Sur,La Paz,HG,Hospital General,Hospital General La Paz,1,Segundo Nivel,No aplica,24.138213,-110.341179,"CALLE MAR CARIBE S/N, COLONIA EL CONCHALITO, LA PAZ, BAJA CALIFORNIA SUR, CP. 23090"
CHIST000030,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Chihuahua,Chihuahua,HG,Hospital General,Hospital General Presidente Lázaro Cárdenas,1,Segundo Nivel,No aplica,28.6600143,-106.096394,"AVENIDA AMERICAS S/N, COLONIA ANGEL TRIAS , CHIHUAHUA, CHIHUAHUA, CP. 31203"
QTIST000046,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Querétaro,Querétaro,HG,Hospital General,Hospital General Querétaro,1,Segundo Nivel,La Pantalla del Angiógrafo se Encuentra dañada,20.5931,-100.407,"AVENIDA TECNOLÓGICO S/N, COLONIA CENTRO, QUERÉTARO, QUERÉTARO, CP. 76000"
CLIST000333,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Coahuila,Saltillo,HG,Hospital General,Hospital General Saltillo,1,Segundo Nivel,No aplica,25.41055,-100.95964,"BOULEVARD CARLOS ABEDROP S/N, COLONIA CENTRO METROPOLITANO, SALTILLO, COAHUILA, CP. 25022"
SPIST000113,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,San Luis Potosí,San Luis Potosí,HG,Hospital General,Hospital General San Luis Potosí,1,Segundo Nivel,No aplica,22.14041736,-100.9698838,"CALLE CARLOS DIEZ GUTIÉRREZ S/N, COLONIA JULIAN CARRILLO, SAN LUIS POTOSÍ, SAN LUIS POTOSÍ, CP. 78340"
